"company","datacenter_name","datacenter_id","mi_datacenter_id","mi_company_id","facility_owner","street_address","total_UPS_power","net_UPS_power","net_UPS_power_utilized","total_utility_power","PUE","kW_per_rack","total_revenue","year_built","year_operational","quarter_operational","year_retrofitted","year_decommissioned","quarter_decommissioned","operational_status","center_type","tenant_type","county","state_ab","state","zip_code","latitude","longitude"
"Evocative, Inc.","1 Enterprise Ave","2614","10320467","5068066","Evocative, Inc.","One Enterprise Avenue North",10908.8,10901.8,8174.6,21000,1.9,4.77,16.46,2014,2014,1,NA,NA,NA,"Operational","Retail","Multi","Hudson","NJ","New Jersey","07094",40.787662,-74.070595
"Digital Realty Trust, Inc.","10000 Godwin Dr","7633","10340263","4094311","Digital Realty Trust, Inc.","10000 Godwin Dr",0,0,0,96000,1.5,0,0,NA,NA,NA,NA,NA,NA,"Planned","Wholesale","Multi","Prince William","VA","Virginia","20110",38.735438,-77.505877
"Mapletree Industrial Trust","1001 Windward Concourse, Alpharetta","8891","10081828","4273584","Mapletree Industrial Trust","1001 Windward Concourse",4000,4000,4000,7200,1.8,3.5,1.39,2014,2014,1,NA,NA,NA,"Operational","Powered Shell","Single","Fulton","GA","Georgia","30005",34.09662,-84.23721
"Mapletree Industrial Trust","11085 Sun Center Drive, Rancho Cordova","632","10151908","4273584","Mapletree Industrial Trust","11085 Sun Center Drive",4194,0,0,6710,1.6,4.5,8.61,1982,1982,NA,2010,NA,NA,"Operational","Powered Shell","Single","Sacramento","CA","California","95670",38.596101,-121.27263
"LeFrak Organization Inc.","111 Town Square Place","894","10318451","4292415","LeFrak Organization Inc.","111 Town Square Place",15000,14500,12250,22500,1.5,5.25,23.31,1988,1988,NA,NA,NA,NA,"Operational","Wholesale","Multi","Hudson","NJ","New Jersey","07310",40.726365,-74.036285
"Prime Data Centers, Corp.","1111 Comstock","7243","10340468","19978007","Prime Data Centers, Corp.","1111 Comstock St",11025,11025,11025,13230,1.2,5.25,5.25,2022,2022,1,NA,NA,NA,"Operational","Wholesale","Multi","Santa Clara","CA","California","95054",37.374707,-121.952001
"Digital Realty Trust, Inc.","1115 Centennial Avenue","8226","10169714","4094311","Digital Realty Trust, Inc.","1116 Centennial Avenue",10000,10000,5000,12000,1.2,8.75,1.56,2021,2021,1,NA,NA,NA,"Operational","Wholesale","Multi","Middlesex","NJ","New Jersey","08854",40.552834,-74.45667
"Digital Realty Trust, Inc.","1122 Alma Rd","13384","10343771","4094311","Digital Realty Trust, Inc.","1122 Alma Rd",0,0,0,50625,1.5,0,0,2026,2026,3,NA,NA,NA,"Planned","Wholesale","Single","Dallas","TX","Texas","75081",32.966271,-96.715614
"Digital Realty Trust, Inc.","1125 Energy Park Dr","598","10317729","4094311","Digital Realty Trust, Inc.","1125 Energy Park Dr",0,0,0,0,1.6,0,0,1999,NA,NA,1999,2018,1,"Not Operational","Wholesale","Multi","Ramsey","MN","Minnesota","55108",44.972274,-93.147436
"Mapletree Industrial Trust","115 Second Avenue, Waltham","570","80570","4273584","Mapletree Industrial Trust","115 2nd Avenue",6978,903,903,10173,1.6,4.65,18,2006,2006,NA,NA,NA,NA,"Operational","Powered Shell","Single","Middlesex","MA","Massachusetts","02451",42.39308,-71.26546
"Centersquare","11830 Webb Chapel Road","547","73595","124026378","Centersquare","11830 Webb Chapel Road",27600.94,27600.94,27048.92,44161.5,1.6,4.53,80.63,2000,2000,NA,NA,NA,NA,"Operational","Wholesale","Multi","Dallas","TX","Texas","75234",32.9118,-96.87043
"Mapletree Industrial Trust","11900 East Cornell Avenue, Aurora","579","10041343","4273584","Mapletree Industrial Trust","11900 East Cornell Avenue",40001,33501,31100.94,64000,1.6,4.56,71.29,1984,1984,NA,NA,NA,NA,"Operational","Powered Shell","Single","Arapahoe","CO","Colorado","80114",39.66106,-104.84972
"Mapletree Industrial Trust","1221 Coit Road, Plano","8945","10039314","4273584","Mapletree Industrial Trust","1221 Coit Road",4057.02,0,0,7302.64,1.8,4.58,1.06,1986,1986,NA,2011,NA,NA,"Operational","Powered Shell","Single","Collin","TX","Texas","75075",33.01572,-96.76882
"Prime Data Centers, Corp.","1231 Comstock","9898","10341088","19978007","Prime Data Centers, Corp.","1231 Comstock Avenue",0,0,0,13500,1.2,0,0,2025,2025,3,NA,NA,NA,"Under Construction","Wholesale","Multi","Santa Clara","CA","California","95054",37.374961,-121.954866
"Digital Realty Trust, Inc.","125 N Myers St","576","80547","4094311","Digital Realty Trust, Inc.","125 North Myers Street",2743,680.5,680.5,4500,1.6,3.6,3.41,2001,2001,NA,2008,NA,NA,"Operational","Wholesale","Multi","Mecklenburg","NC","North Carolina","28202",35.22204,-80.83523
"Digital Realty Trust, Inc.","1350 Duane Avenue & 3080 Raymond Street","637","10001502","4094311","Digital Realty Trust, Inc.","1350 Duane Avenue 3080 Raymond Street",10999.64,1002.73,1002.73,18000,1.6,3.56,17.77,2000,2000,NA,NA,NA,NA,"Operational","Wholesale","Multi","Santa Clara","CA","California","95054",37.37868,-121.95485
"Prime Data Centers, Corp.","1455 Round Table","11032","10341481","19978007","Prime Data Centers, Corp.","1455 Round Table",0,0,0,18720,1.8,0,0,2025,2025,4,NA,NA,NA,"Under Construction","Wholesale","Multi","Dallas","TX","Texas","75247",32.837942,-96.880925
"Menlo Equities VI LP","14901 FAA Boulevard","555","90100","4803241","Menlo Equities VI LP","14901 FAA Boulevard",20000.33,14000.23,14000.23,32000.53,1.6,4.55,59.33,2000,2000,NA,2012,NA,NA,"Operational","Powered Shell","Single","Tarrant","TX","Texas","76155",32.83218,-97.04123
"Hines Group","150 S First St","658","10317842","115716299","Hines Group","150 S First St",11459.83,2460.06,2116.27,19000,1.6,3.83,26.51,1987,1987,NA,1999,NA,NA,"Operational","Wholesale","Single","Santa Clara","CA","California","95101",37.333594,-121.887962
"Digital Realty Trust, Inc.","1500 Towerview Road","599","10047445","4094311","Digital Realty Trust, Inc.","1500 Towerview Road",0,0,0,0,1.5,0,0,2013,2013,1,1991,2022,4,"Not Operational","Wholesale","Single","Dakota","MN","Minnesota","55121",44.84205,-93.174514
"Digital Realty Trust, Inc.","1505 Ferris","5335","10339543","4094311","Digital Realty Trust, Inc.","1505 Ferris Road",12000,12000,12000,72000,1.5,3,23.32,2024,2024,4,NA,NA,NA,"Operational","Wholesale","Multi","Dallas","TX","Texas","75044",32.977113,-96.650399
"Digital Realty Trust, Inc.","1506 & 44874 Moran Road","609","10031163","4094311","Digital Realty Trust, Inc.","1506 Moran Road 44874 Moran Road",5871.81,1657.82,1657.82,9395,1.6,4.5,7.77,2011,2011,1,NA,NA,NA,"Operational","Wholesale","Single","Loudoun","VA","Virginia","20166",38.994639,-77.447877
"Prime Data Centers, Corp.","1510 Lookout","11030","10341475","19978007","Prime Data Centers, Corp.","1501 E Lookout Dr",19500,19500,4680,25350,1.8,5.25,10.7,2024,2024,1,NA,NA,NA,"Operational","Wholesale","Single","Dallas","TX","Texas","75082",32.98531,-96.698989
"Prime Data Centers, Corp.","1515 Round Table","11029","10341472","19978007","Prime Data Centers, Corp.","1515 Round Table",6030,6030,6030,10854,1.8,5.25,13.78,2015,2015,1,NA,NA,NA,"Operational","Wholesale","Multi","Dallas","TX","Texas","75247",32.837903,-96.87841
"NOCIX, LLC","1530 Swift","13581","10343551","11148846","NOCIX, LLC","1530 Swift Street",1000,1000,700,10000,1.4,3.5,2,2022,2022,1,NA,NA,NA,"Operational","Retail","Multi","Clay","MO","Missouri","64116",39.136878,-94.577558
"Sailfish Investors Acquisitions LLC","1599 Amber Stapp Studdard Road","14976","10366682","137597531","Sailfish Investors Acquisitions LLC","1599 Amber Stapp Studdard Road",0,0,0,0,1.5,0,0,NA,NA,NA,NA,NA,NA,"Planned","Wholesale","Multi","Walton","GA","Georgia","30025",33.66005,-83.68236
"1623 Farnam","1623 Farnam","4719","10346745","19976573","1623 Farnam","Farnam Center, 1623 Farnam St",3240,2565,1755,5000,1.5,4.72,6.3,2012,2012,1,NA,NA,NA,"Operational","Retail","Multi","Douglas","NE","Nebraska","68102",41.257446,-95.938142
"165 Halsey Street Inc.","165 Halsey","6712","10340232","12606327","165 Halsey Street Inc.","165 Halsey St",30750,25509.51,23972.01,63000,1.4,5.25,53.42,1996,1996,NA,NA,NA,NA,"Operational","Powered Shell","Multi","Essex","NJ","New Jersey","07102",40.736844,-74.175983
"Alpharetta DC, LLC","1650 Union Hill Rd Alpharetta","8890","10340942","101323496","Alpharetta DC, LLC","1650 Union Hill Road",4000.25,4000.25,4000.25,7200.45,1.8,2.78,17.28,2014,2014,4,NA,NA,NA,"Operational","Powered Shell","Single","Fulton","GA","Georgia","30005",34.095229,-84.238136
"Mapletree Industrial Trust","17201 Waterview Parkway, Dallas","528","10046526","4273584","Mapletree Industrial Trust","17201 Waterview Parkway",4999.9,4999.9,4999.9,8999.82,1.8,5.83,8.58,1982,2013,1,2002,NA,NA,"Operational","Powered Shell","Multi","Dallas","TX","Texas","75252",32.98466,-96.75734
"Lumen Technologies, Inc.","1755 & 1757 Old Meadow Road, McLean","1282","10124317","4057179","Mapletree Industrial Trust","1755/1757 Old Meadow Road",1151.01,1151.01,1093.46,1842,1.6,2.62,4.17,NA,NA,NA,NA,NA,NA,"Operational","Retail","Multi","Fairfax","VA","Virginia","22102",38.919954,-77.211594
"DataBank Holdings, Ltd.","1764A Old Meadow Lane, McLean","2232","10124319","5222444","Mapletree Industrial Trust","1764A Old Meadow Lane",4000,4000,3200,6000,1.5,3.5,11.89,1992,2012,1,2013,NA,NA,"Operational","Retail","Multi","Fairfax","VA","Virginia","22102",38.91991,-77.21356
"Mapletree Industrial Trust","180 Peachtree Street NW, Atlanta","8058","10036350","4273584","Mapletree Industrial Trust","180 Peachtree Street Northwest",9344.58,0,0,14016.87,1.5,2.8,20.07,NA,NA,NA,NA,NA,NA,"Operational","Powered Shell","Multi","Fulton","GA","Georgia","30303",33.75856,-84.38786
"Mapletree Industrial Trust","1805 Center Park Drive, Charlotte","8060","10067684","4273584","Mapletree Industrial Trust","1805 Center Park Drive",4515,1651,1651,9000,1.7,7.53,3.6,2014,2014,1,NA,NA,NA,"Operational","Powered Shell","Single","Mecklenburg","NC","North Carolina","28217",35.17309,-80.92781
"Crown Castle Inc.","19 W Tyler - Longview","11064","10341547","4417219","Crown Castle Inc.","19 W Tyler St",100,100,100,180,1.8,3.5,0.34,NA,NA,NA,NA,NA,NA,"Operational","Telco","Multi","Gregg","TX","Texas","75601",32.495565,-94.740398
"Digital Realty Trust, Inc.","1900 South Price Road","631","10046527","4094311","Digital Realty Trust, Inc.","1900 South Price Road",0,0,0,0,1.6,0,0,NA,NA,NA,NA,NA,NA,"Not Operational","Wholesale","Multi","Maricopa","AZ","Arizona","85286",33.277006,-111.890277
