statename,unique_id,reporter,address,city,state,zip_code,county,avert_region,lat,lon,first_permit_issue_year,latest_permit_issue_year,data_center_construct_year,new_permit_or_existing_update,number_of_buildings,company,brand,brand_source_url,private_equity_or_asset_manager,private_equity_or_asset_manager_source,generator_type,of_tier_2,of_tier_3,of_tier_4,vocs_tpy,nox_tpy,co_tpy,sox_tpy,pm_tpy,pm2_5_tpy,pm10_tpy,co2e_tpy,rate_capacity_original,total_generator_rate_capacity_kw,estimate_power_consumption_in_kw_hr_calculated_30,estimate_power_consumption_in_kw_hr_calculated_50,estimate_power_consumption_in_kw_hr_calculated_60,size_category_at_30,size_category_at_50_capacity_large_vs_small,size_category_at_50_capacity,size_category_at_60,reporter_notes,page,size_capacity_over_100_mw,records_link,water_stress,water_requested,daily_water_consumption_gallons,annual_water_consumption_gallons,water_notes,water_record_link,number_of_epa_enforcements,total_penalties_assessed,primary_law,case_status_desc,major_basin_name,minor_basin_name,aquifer_name,us_environmental_justice_concern,state_environmental_justice_concern,total_population_within_1_mile_of_site,us_percentile_for_ej_index_for_particulate_matter,us_percentile_for_ej_index_for_ozone,us_percentile_for_ej_index_for_nitrogen_dioxide_no2,us_percentile_for_ej_index_for_diesel_particulate_matter,us_percentile_for_ej_index_for_toxic_releases_to_air,us_percentile_for_ej_index_for_traffic_proximity_and_volume,us_percentile_for_ej_index_for_lead_paint_indicator,us_percentile_for_ej_index_for_superfund_proximity,us_percentile_for_ej_index_for_rmp_proximity,us_percentile_for_ej_index_for_hazardous_waste_proximity,us_percentile_for_ej_index_for_underground_storage_tanks_ust_indicator,us_percentile_for_ej_index_for_wastewater_discharge_indicator,us_percentile_for_ej_index_for_drinking_water_non_compliance,state_percentile_for_ej_index_for_particulate_matter,state_percentile_for_ej_index_for_ozone,state_percentile_for_ej_index_for_nitrogen_dioxide_no2,state_percentile_for_ej_index_for_diesel_particulate_matter,state_percentile_for_ej_index_for_toxic_releases_to_air,state_percentile_for_ej_index_for_traffic_proximity_and_volume,state_percentile_for_ej_index_for_lead_paint_indicator,state_percentile_for_ej_index_for_superfund_proximity,state_percentile_for_ej_index_for_rmp_proximity,state_percentile_for_ej_index_for_hazardous_waste_proximity,state_percentile_for_ej_index_for_underground_storage_tanks_ust_indicator,state_percentile_for_ej_index_for_wastewater_discharge_indicator,state_percentile_for_ej_index_for_drinking_water_non_compliance,population_within_1_mile_radius_10_000,population_within_1_mile_radius_5_000,estimated_at_2n,estimated_at_n_1,estimated_at_2n_in_twh,estimated_at_n_1_in_twh,estimated_data_center_electricity_use_in_terrawatt_hours_a_year_at_50_capacity,estimated_data_center_electricity_use_in_megawatt_hours_at_50_capacity,,large_facilites,facilities_note
Georgia,533,Narimes,"300 Riverside Pkwy SW, Lithia Springs GA 30122",Lithia Springs,GA,30122,Douglas,Southeast,33.74965937,-84.58471339,2017,2017,,New,,Google LLC,Google,https://www.google.com/about/datacenters/locations/douglas-county/,,,,,,,-,99.0,,-,,,,,REDACTED,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,six groups of emergency diesel generators. Rated capacity info is deemed confidential and could not be provided by the agency.,,,PDF-OP-27010.pdf,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,"Gulf of Mexico, North Atlantic Coast",Chattahoochee,-,yes,yes,2250.0,93,62,77,90,85,83,0,0,96,92,86,89,0,92,85,87,92,82,88,0,0,94,95,80,91,0,"fewer than 10,000","fewer than 5,000",redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,
New Mexico,757,Yuheng,"4250 Messenger Loop, Los Lunas, NM 87031",Los Lunas,NM,87031,Valencia,Southwest,34.836389,-106.791389,2018,2021,,Existing update,,"Greater Kudu, LLC",Meta,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/fb-12312018x10kexhibit211.htm,,,,,,,25.6,99.9,66.8,-,11.9,11.9,11.9,,REDACTED,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,"REDACTED. Their PIO told us New Mexico has only permitted 1 data center in the entire state. This facility and the one only referred to by lat/long have the same facility ID. Narimes also checked Google Maps to confirm that they are likely the same facility.RS20286_Permit (7026M1).pdf:57 generators in total; 55 backup emergency generators; 2 temporary generators; RS20776_Permit (7026M3).pdf 94 generators in total; 32 Engines from Group 1; 4 Engines from Group 2; 1 Engine from Group 3; 19 Engines from Group 4, and thirty-six (36) additional back-up generators; RS25360_Permit (7026M5).pdfThis modification consists of adding four (4) Group 4 generators; modifying the generator specifications for thirty-two (32) Group 1 generators, four (4) Group 2 generators, and one (1) Group 3 generator",,,Greater Kadu_NM.pdf ; RS20286_Permit (7026M1).pdf ; RS20776_Permit (7026M3).pdf ; RS22825_Permit (7026M4).pdf ; RS25360_Permit (7026M5).pdf,High (40-80%),-,-,-,-,-,-,-,-,-,Rââ o Grande - Bravo,Grande / Albuquerque,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"fewer than 10,000",,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,
Nevada,762,Ellen,"1 Superloop Circle, McCarran, NV 89434",McCarran,NV,89434,Washoe,Northwest,39.51429039,-119.4736264,2017,2024,,Existing update,,The Citadel Campus,Switch,https://www.switch.com/tahoe-reno/,,,MTU,,,,-,249.0,34.8,0.29,5.87,5.87,5.87,,REDACTED,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,REDACTED,,,"A1896A - AP73753672 - SWITCH, LTD",High (40-80%),-,-,-,-,-,-,-,-,-,Great Basin,Lake Tahoe / Truckee / Pyramid / Winnemucca Lakes,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"fewer than 10,000",,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,
Nevada,763,Ellen,"7400 USA Pkwy, Sparks, NV 89437",Sparks,NV,89437,Storey,Northwest,39.49224775,-119.4248246,2020,2023,,Existing update,,Silver Slate LLC,Google,https://www.google.com/about/datacenters/locations/storey-county/,,,,,,,2.7,99.3,10.6,0.11,1.16,1.16,1.16,,REDACTED,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,REDACTED,,,A2164 - AP73744057 - SILVER SLATE LLC,High (40-80%),-,-,-,-,-,-,-,-,-,Great Basin,Lake Tahoe / Truckee / Pyramid / Winnemucca Lakes,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"fewer than 10,000",,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,
Ohio,799,Hannah,"35 Whiley Road, Lancaster, OH 43130",Lancaster,OH,43130,Fairfield,Mid-Atlantic,39.72757765,-82.68418412,2022,2022,,New,,Table Mountain Industries LLC,Google,https://drive.google.com/file/d/1qWLeFsnb3msmB8HFIU5cOQqCvOmUIBxm/view?usp=drive_link,,,,,,,-,95.9,50.5,-,,,,,REDACTED,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,"89 emergency generators burning ultra-low sulfur diesel with federally enforceable limitations to remain below major source thresholds; In addition, Table Mountain plans to install and operate the following emissions units: one emergency generator (permit exempt), cooling towers (de minimis), one fire pump (permit-by-rule), fuel storage tanks (de minimis), facility maintenance activities (permit exempt), and roadways and parking areas (permit exempt). Missing rate capacity and generator types (8/29: TMI was able to claim this info as trade secret and it's not in the permit)",,,P0131221 (2).pdf,Low (<10%),-,-,-,-,-,-,-,-,-,Mississippi - Missouri,Hocking,-,no,no,92.0,14,14,22,10,14,9,21,0,0,21,29,18,74,12,3,21,5,4,12,15,0,0,22,22,11,62,"fewer than 10,000","fewer than 5,000",redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,
Ohio,800,Hannah,"5076 S High St, Lockbourne, OH 43137",Lockbourne,OH,43137,Franklin,Mid-Atlantic,39.85275091,-82.99684127,2024,2024,,New,,Magellan Enterprises LLC,Google,https://drive.google.com/file/d/1CoN40kh78qx-cvod79hYAsyKxgZbj438/view?usp=drive_link,,,,,,,-,247.1,144.0,-,,,,,REDACTED,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,164 emergency generators burning ultra-low sulfur diesel or hydrotreated vegetable oil at a data center with federally enforceable limitations to avoid PSD Missing rate capacity and generator types,,,Magellan Enterprises LLC,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,Mississippi - Missouri,Upper Scioto,-,no,no,1499.0,57,59,62,64,75,59,54,0,77,66,51,76,84,67,30,63,70,62,69,46,0,79,73,47,82,83,"fewer than 10,000","fewer than 5,000",redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,
Ohio,802,Ellen,"1225 Beech Rd. SW, New Albany, OH 43504",New Albany,OH,43504,Franklin,Mid-Atlantic,40.06395475,-82.75797055,2023,2024,,Existing update,,QTS New Albany 1,QTS,https://qtsdatacenters.com/data-centers/new-albany-1,,,,,,,-,95.0,54.9,-,,,,,REDACTED,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,"Partially redacted âÂ 102 2,500 kWe (3,634 bhp) or 2,250 kWe (3,353 bhp) Diesel-Fired Emergency Generators:",,,QTS_Ohio.pdf,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,Mississippi - Missouri,Upper Scioto,-,no,no,61.0,33,40,35,37,40,36,29,60,35,30,37,34,0,40,32,34,41,20,47,19,74,28,32,35,23,0,"fewer than 10,000","fewer than 5,000",redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,
Ohio,807,Hannah,intersection of Morse Rd and Beech Rd SW,New Albany,OH,-,Licking,Mid-Atlantic,40.0505649,-82.75564967,2024,2024,,New,,Montauk Innovations LLC,Google,https://www.linkedin.com/in/rebekah-flory-1137117b/,,,,,,,-,242.5,128.5,-,,,,,REDACTED,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,132 emergency generators burning ultra-low sulfur diesel with federally enforceable limitations for NOx and CO to remain below New Source Review major source thresholds. Missing rate capacity and generator types,,,P0134570 .pdf,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,Mississippi - Missouri,Upper Scioto,-,no,no,292.0,29,33,20,26,32,24,30,56,32,26,27,27,0,33,17,11,26,13,32,23,69,24,28,19,16,0,"fewer than 10,000","fewer than 5,000",redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,
Oregon,842,Hannah,"735 SW Connect Way, Prineville, OR 97754",Prineville,OR,97754,Crook,Northwest,44.29792249,-120.8876945,2022,2024,,Existing update,5.0,"Vitesse, LLC",Meta,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000009/fb-12312018x10kexhibit211.htm,,,MTU; Caterpillar; John Deere,,,,9.39,99.0,34.35,0.25,3.34,3.34,3.34,19232.0,,246727,74018,123364,"148,036",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"the current ACDP covers emissions from 42 generators with an electrical power rating of 3,000 kW, four generators with an electrical power rating of 2,500 kW, one generator with an electrical power rating of 550 kW, and one generator with an electrical power rating of 177 kW; This applicant is submitting this application to construct a potential additional building that involves the installation of additional diesel-fired emergency generators of the facility. Specifically, the applicant would like to install 36 additional 3,000 kW generatos and two 1,000 kW generators. over 100 MW 07-0037 Application 29356.pdf Low - Medium (10-20%) - - - - - - - - - Columbia and Northwestern United States Upper Crooked - no no 16 75 46 54 6 2 31 55 0 0 48 53 0 84 64 88 65 18 5 29 61 0 0 55 54 0 77 fewer than 10,000 fewer than 5,000 61681.75 98690.80 0.540 0.865 1.08 123.36 80186.28 Possible hyperscaler 843 Hannah 3313 West Second Street, The Dalles, OR 97058 The Dalles OR 97058 Wasco Northwest 45.6240728054418 -121.207182722089 2018 2018 New Design LLC Google pg 12 (mailing address is Google HQ) 33-0061 Application 30373 Binder.pdf 21.99 99.4 44.1 0.07 10.99 10.99 10.99 - REDACTED redacted redacted redacted redacted redacted redacted redacted redacted For reporting year 2023, there are no emission units that were constructed or operated at the site; therefore, no fuel usage, generator runs, or emissions occurred in 2023. Additionally, certification of the emission factors is not yet complete as the engines have not been brought on site;' (33-0061-ST-01_AR_2023.pdf)",,,33-0061 Application 30373 Binder.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,Columbia and Northwestern United States,Middle Columbia / Hood,-,no,yes,3779.0,86,24,57,64,17,50,72,81,72,49,75,37,73,76,65,69,66,24,52,84,94,74,57,78,49,58,"fewer than 10,000","fewer than 5,000",redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,
Oregon,843,Hannah,"3313 West Second Street, The Dalles, OR 97058",The Dalles,OR,97058,Wasco,Northwest,45.62407281,-121.2071827,2018,2018,,New,,Design LLC,Google,pg 12 (mailing address is Google HQ) 33-0061 Application 30373 Binder.pdf,,,,,,,21.99,99.4,44.1,0.07,10.99,10.99,10.99,,REDACTED,redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,"For reporting year 2023, there are no emission units that were constructed or operated at the site; therefore, no fuel usage, generator runs, or emissions occurred in 2023. Additionally, certification of the emission factors is not yet complete as the engines have not been brought on site; (33-0061-ST-01_AR_2023.pdf)",,,33-0061 Application 30373 Binder.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,Columbia and Northwestern United States,Middle Columbia / Hood,-,no,yes,3779.0,86,24,57,64,17,50,72,81,72,49,75,37,73,76,65,69,66,24,52,84,94,74,57,78,49,58,"fewer than 10,000","fewer than 5,000",redacted,redacted,redacted,redacted,redacted,redacted,redacted,redacted,
